movieId,title
tt0093629,A Nightmare on Elm Street 3: Dream Warriors (1987)
tt0240772,Ocean's Eleven (2001)
tt0212985,Hannibal (2001)
tt0144084,American Psycho (2000)
tt0091064,The Fly (1986)
tt0077651,Halloween (1978)
tt0258000,Panic Room (2002)
tt0361596,Fahrenheit 9/11 (2004)
tt0286716,Hulk (2003)
tt0390521,Super Size Me (2004)
tt0183649,Phone Booth (2002)
tt0052618,Ben-Hur (1959)
tt0093748,"Planes, Trains & Automobiles (1987)"
tt0133152,Planet of the Apes (2001)
tt0290002,Meet the Fockers (2004)
tt0110912,Pulp Fiction (1994)
tt0195714,Final Destination (2000)
tt0112384,Apollo 13 (1995)
tt0220506,Halloween: Resurrection (2002)
tt0075860,Close Encounters of the Third Kind (1977)
tt0256380,Shallow Hal (2001)
tt0095953,Rain Man (1988)
tt0113277,Heat (1995)
tt0063522,Rosemary's Baby (1968)
tt0083866,E.T. the Extra-Terrestrial (1982)
tt0105236,Reservoir Dogs (1992)
tt0093870,RoboCop (1987)
tt0110148,Interview with the Vampire: The Vampire Chronicles (1994)
tt0117500,The Rock (1996)
tt0338348,The Polar Express (2004)
tt0209958,The Cell (2000)
tt0382077,Hide and Seek (2005)
tt0289765,Red Dragon (2002)
tt0175142,Scary Movie (2000)
tt0332379,School of Rock (2003)
tt0377092,Mean Girls (2004)
tt0117571,Scream (1996)
tt0114369,Se7en (1995)
tt0049406,The Killing (1956)
tt0327056,Mystic River (2003)
tt0365748,Shaun of the Dead (2004)
tt0090728,Big Trouble in Little China (1986)
tt0075314,Taxi Driver (1976)
tt0309593,Final Destination 2 (2003)
tt0319343,Elf (2003)
tt0303816,Cabin Fever (2002)
tt0095179,Friday the 13th Part VII: The New Blood (1988)
tt0145660,Austin Powers: The Spy Who Shagged Me (1999)
tt0159365,Cold Mountain (2003)
tt0090756,Blue Velvet (1986)
tt0105695,Unforgiven (1992)
tt0203009,Moulin Rouge! (2001)
tt0096895,Batman (1989)
tt0070047,The Exorcist (1973)
tt0081505,The Shining (1980)
tt0116282,Fargo (1996)
tt0108052,Schindler's List (1993)
tt0049366,Invasion of the Body Snatchers (1956)
tt0074285,Carrie (1976)
tt0332280,The Notebook (2004)
tt0114746,12 Monkeys (1995)
tt0064757,On Her Majesty's Secret Service (1969)
tt0314331,Love Actually (2003)
tt0126029,Shrek (2001)
tt0298148,Shrek 2 (2004)
tt0024216,King Kong (1933)
tt0253474,The Pianist (2002)
tt0083929,Fast Times at Ridgemont High (1982)
tt0119217,Good Will Hunting (1997)
tt0317248,City of God (2002)
